epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,432.514,0.68979,0.31483,0.96337,0.96486,0.96852,0.95669,0.6447,1.3068,0.48226,1.34603,0.000176094,0.000176094,0.000176094
87,436.636,0.69029,0.31422,0.96526,0.96275,0.96852,0.95777,0.64998,1.29575,0.47558,1.33995,0.000165095,0.000165095,0.000165095
88,440.829,0.69086,0.31305,0.9702,0.97244,0.9735,0.9699,0.6531,1.28964,0.47747,1.33694,0.000154096,0.000154096,0.000154096
89,444.994,0.68126,0.31277,0.96504,0.96467,0.96606,0.9612,0.64559,1.29975,0.49079,1.34616,0.000143097,0.000143097,0.000143097
90,449.39,0.68776,0.31346,0.96848,0.97357,0.97388,0.96895,0.65199,1.30551,0.49484,1.35574,0.000132098,0.000132098,0.000132098
91,468.699,0.6153,0.26946,0.9229,0.9674,0.96586,0.96078,0.64025,1.31276,0.48875,1.38004,0.000121099,0.000121099,0.000121099
92,472.848,0.5935,0.25774,0.912,0.96509,0.96525,0.95944,0.64696,1.30664,0.4872,1.37672,0.0001101,0.0001101,0.0001101
93,477.036,0.57863,0.25338,0.90527,0.96556,0.96682,0.96102,0.64157,1.31639,0.48263,1.38886,9.91012e-05,9.91012e-05,9.91012e-05
94,481.17,0.57545,0.25122,0.90386,0.96468,0.96602,0.95756,0.63517,1.31389,0.48675,1.39361,8.81023e-05,8.81023e-05,8.81023e-05
95,485.474,0.56843,0.25085,0.90458,0.96653,0.96595,0.95849,0.64074,1.30808,0.48465,1.38949,7.71034e-05,7.71034e-05,7.71034e-05
96,490.291,0.55079,0.24542,0.89532,0.96618,0.96618,0.96118,0.63912,1.32142,0.4844,1.39928,6.61045e-05,6.61045e-05,6.61045e-05
97,494.543,0.54956,0.24325,0.89301,0.96566,0.96699,0.95983,0.64793,1.3144,0.48386,1.3949,5.51056e-05,5.51056e-05,5.51056e-05
98,498.78,0.5458,0.24268,0.89623,0.96527,0.9665,0.95886,0.63961,1.31595,0.48187,1.39293,4.41067e-05,4.41067e-05,4.41067e-05
99,503.046,0.53925,0.2412,0.88856,0.96459,0.96706,0.95864,0.64186,1.31893,0.47578,1.39762,3.31078e-05,3.31078e-05,3.31078e-05
100,507.291,0.5421,0.24073,0.8916,0.96564,0.9663,0.95841,0.63624,1.32269,0.47756,1.40374,2.21089e-05,2.21089e-05,2.21089e-05
